https://www.obsebre.es/ca/dades-solars 
Dades solars

Nombre de Wolf mitjà mensual enregistrat a l'Observatori de l'Ebre.

El Nombre de Wolf (W) es calcula en base al nombre de grups (G) i taques (t) (W=10 G + t). Aquesta fórmula indica que l'aparició d’un grup coherent de taques (una regió activa) és molt més important que afegir unes taques més a un grup ja existent. 
ANY 	GEN 	FEB 	MAR 	ABR 	MAI 	JUN 	JUL 	AGO 	SET 	OCT 	NOV 	DES
1956 	89.6 	135.3 	160.1 	152.0 	149.6 	130.1 	127.5 	181.1 	189.3 	156.3 	192.4 	204.6
1957 	172.1 	140.6 	191.3 	204.6 	173.2 	188.3 	185.7 	165.0 	232.0 	275.6 	221.6 	255.0
1958 	249.4 	176.7 	200.1 	219.1 	203.8 	181.5 	193.2 	216.3 	223.2 	206.4 	179.7 	209.1
1959 	271.0 	169.5 	211.9 	171.6 	142.1 	151.4 	132.1 	183.6 	136.1 	110.3 	113.7 	109.4
1960 	149.1 	114.4 	115.7 	133.1 	130.4 	121.4 	126.0 	135.0 	129.4 	79.2 	102.0 	85.8
1961 	56.5 	55.0 	61.7 	69.3 	53.1 	70.0 	60.4 	44.3 	56.3 	38.2 	36.8 	46.8
1962 	40.7 	38.8 	32.2 	41.6 	34.4 	35.7 	17.9 	22.0 	45.4 	39.3 	26.0 	20.3
1963 	21.2 	23.0 	12.8 	25.9 	32.6 	29.9 	12.9 	24.2 	35.0 	36.5 	24.5 	18.0
1964 	20.5 	19.4 	20.6 	12.2 	13.3 	12.6 	5.0 	13.1 	7.0 	9.6 	9.6 	18.5
1965 	25.3 	20.5 	18.3 	12.7 	28.1 	18.5 	14.7 	10.9 	22.0 	22.9 	20.5 	19.6
1966 	31.4 	31.7 	27.4 	51.8 	63.3 	61.9 	72.5 	69.4 	61.5 	78.8 	79.3 	92.8
1967 	143.4 	126.9 	145.8 	94.8 	134.5 	89.4 	119.3 	147.2 	99.5 	112.5 	110.8 	142.5
1968 	130.4 	132.4 	109.1 	96.6 	159.3 	141.9 	112.9 	131.9 	139.7 	127.9 	103.2 	118.5
1969 	110.1 	126.9 	177.0 	142.1 	164.4 	128.8 	127.4 	119.6 	114.2 	123.1 	119.1 	118.5
1970 	151.8 	173.0 	154.0 	148.2 	168.7 	151.5 	160.8 	137.7 	144.8 	133.4 	138.6 	121.9
1971 	123.3 	115.7 	90.7 	108.6 	85.7 	81.6 	124.2 	86.3 	72.4 	65.0 	68.6 	102.4
1972 	73.0 	97.5 	100.5 	82.1 	85.9 	101.4 	101.4 	91.1 	90.0 	62.5 	37.6 	44.8
1973 	41.1 	41.0 	50.6 	65.8 	50.3 	48.0 	32.1 	31.5 	66.4 	32.2 	24.7 	22.6
1974 	31.7 	30.7 	28.2 	45.4 	41.1 	42.4 	55.2 	41.2 	43.5 	48.3 	28.2 	20.2
1975 	20.6 	10.9 	10.1 	4.5 	9.2 	12.8 	42.1 	42.9 	16.3 	9.1 	18.6 	6.7
1976 	7.1 	4.5 	21.6 	19.7 	14.3 	13.4 	2.6 	15.8 	12.8 	18.7 	5.3 	14.1
1977 	19.8 	23.2 	6.0 	7.3 	17.2 	38.5 	21.8 	34.7 	54.9 	50.6 	34.0 	47.4
1978 	57.5 	93.9 	88.8 	115.9 	99.2 	124.7 	70.3 	62.1 	167.3 	144.8 	106.0 	128.7
1979 	188.9 	143.5 	168.3 	103.0 	159.9 	187.2 	196.3 	177.3 	244.5 	228.3 	200.8 	185.2
1980 	139.7 	165.0 	144.0 	153.1 	237.0 	201.1 	181.0 	184.1 	236.0 	212.3 	158.4 	185.4
1981 	117.1 	149.6 	172.1 	226.5 	214.0 	127.2 	204.3 	276.3 	270.2 	210.9 	186.4 	162.7
1982 	124.3 	195.8 	171.6 	154.2 	117.3 	143.7 	142.7 	154.4 	145.8 	113.8 	109.7 	113.2
1983 	90.2 	60.1 	73.3 	87.6 	106.7 	105.7 	91.9 	83.7 	48.8 	59.2 	32.4 	37.9
1984 	54.9 	71.3 	91.2 	69.5 	84.7 	60.6 	51.7 	30.5 	16.9 	11.2 	18.2 	12.6
1985 	8.7 	17.6 	11.0 	14.1 	24.8 	27.7 	39.9 	7.8 	3.5 	19.4 	13.4 	14.4
1986 	1.3 	20.3 	7.8 	20.3 	12.3 	.0 	15.8 	7.9 	4.4 	33.3 	11.8 	5.2
1987 	6.0 	1.3 	15.3 	43.1 	31.9 	13.8 	32.7 	39.7 	38.6 	49.0 	23.6 	15.6
1988 	38.4 	38.4 	71.2 	101.6 	66.5 	124.1 	110.2 	117.5 	142.7 	161.7 	139.1 	171.9
1989 	186.2 	179.9 	125.1 	123.0 	159.5 	229.3 	144.9 	179.5 	174.2 	171.8 	186.2 	146.7
1990 	182.7 	137.7 	157.6 	162.5 	163.3 	136.2 	159.1 	227.4 	154.5 	177.0 	116.0 	148.5
1991 	157.9 	199.4 	166.3 	144.7 	129.4 	170.8 	191.6 	218.0 	142.5 	158.0 	124.8 	154.9
1992 	151.9 	186.5 	112.2 	101.3 	67.1 	76.6 	89.8 	74.3 	75.8 	108.8 	99.5 	91.4
1993 	70.8 	97.7 	67.6 	64.3 	57.4 	48.7 	60.2 	47.8 	18.5 	44.9 	36.0 	46.5
1994 	53.2 	35.1 	36.1 	15.8 	18.5 	26.9 	43.8 	26.0 	32.8 	48.2 	16.8 	24.7
1995 	28.1 	34.9 	33.9 	16.1 	14.9 	19.6 	17.0 	13.6 	12.7 	23.9 	10.3 	6.3
1996 	8.1 	2.8 	10.5 	3.3 	5.1 	13.6 	7.8 	15.7 	1.3 	.0 	11.0 	8.7
1997 	2.4 	9.5 	10.7 	21.4 	23.0 	17.3 	10.3 	30.3 	57.4 	25.6 	41.5 	41.1
1998 	32.0 	46.5 	74.4 	65.0 	64.7 	84.8 	87.0 	122.4 	118.4 	67.3 	69.9 	99.8
1999 	58.3 	74.1 	87.9 	76.9 	146.2 	210.3 	164.1 	133.4 	101.3 	145.9 	146.9 	88.5
2000 	121.3 	138.1 	184.9 	157.5 	152.2 	173.5 	207.1 	180.0 	134.8 	114.8 	126.3 	116.5
2001 	94.1 	104.9 	138.8 	129.1 	104.7 	147.1 	98.4 	127.6 	171.4 	155.1 	126.4 	166.9
2002 	142.3 	142.4 	129.1 	153.0 	159.1 	122.6 	142.1 	155.8 	163.8 	152.1 	117.6 	104.0
2003 	108.4 	83.1 	90.5 	91.8 	81.7 	115.3 	130.8 	112.7 	69.5 	95.6 	62.1 	72.0
2004 	44.9 	63.7 	61.7 	56.9 	65.7 	53.9 	69.2 	62.3 	42.4 	35.3 	51.5 	23.7
2005 	34.3 	37.6 	46.7 	38.4 	54.1 	52.5 	55.4 	53.2 	35.7 	9.9 	28.3 	54.3
2006 	28.5 	5.3 	12.5 	45.4 	32.4 	16.5 	20.1 	15.3 	24.4 	15.9 	26.3 	16.4
2007 	26.6 	14.6 	5.3 	5.5 	13.3 	19.5 	15.1 	8.9 	3.8 	1.5 	1.8 	12.9
2008 	2.7 	2.4 	11.1 	3.8 	6.7 	4.1 	0.8 	0.4 	0.0 	5.0 	4.7 	1.6
2009 	0.7 	2.1 	0.0 	0.0 	1.7 	5.7 	3.1 	0.0 	7.8 	5.1 	4.4 	8.6
2010 	14.0 	23.9 	24.6 	12.8 	12.6 	17.1 	19.0 	25.2 	26.4 	29.3 	29.1 	20.6
2011 	27.9 	30.3 	62.5 	67.3 	52.6 	46.4 	56.8 	56.8 	102.9 	109.8 	128.2 	97.5
2012 	82.3 	44.2 	82.2 	70.4 	93.7 	82.8 	63.8 	82.3 	94.4 	64.6 	83.8 	57.0
2013 	98.2 	41.8 	74.7 	96.1 	105.8 	66.1 	71.9 	85.4 	50.1 	101.2 	81.2 	94.2
2014 	88.0 	119.4 	109.0 	83.6 	98.9 	76.2 	72.8 	89.9 	94.3 	 77.5 	84.0 	 69.3
2015 	73.4 	 49.1 	 34.4 	62.2 	 71.1 	55.4 	58.4 	 42.8 	 51.0 	 43.9 	 40.2 	 39.2
2016 	35.1 	---- 	---- 	---- 	---- 	---- 	---- 	---- 	---- 	---- 	---- 	----
2017 	---- 	---- 	---- 	---- 	12.0 	16.5 	 13.2 	 28.9 	 35.3 	10.9  	 3.5 	0.8 
2018 	2.8 	 11.6 	 0.0 	 6.9 	 6.0 	10.0 	 0.0 	 3.8 	 0.6 	 3.6 	 0.0 	 0.9
2019 	5.0 	 0.0 	6.8  	 5.1 	 8.0 	0.0 	0.0  	 1.0 	 0.6 	 0.0 	 0.0 	 2.2
2020 	3.0 	 0.0 	1.1  	1.6  	0.0  	1.6  	 6.2 	 2.9 	 0.0 	 7.6 	15.5  	 16.4
2021 	4.6 	3.8 	 8.1 	7.5  	 10.7 	19.6  	20.0  	10.3  	 40.9 	24.5  	25.7  	 35.3
2022 	41.0 	43.8 	67.0 	 53.8 	62.0 	 49.8 	 72.0 	57.1 	 54.2 	 51.3 	49.9 	 75.5
2023 	92.6 	 86.1 	 79.2 	49.7  	 82.0 	 91.4 	 95.4 	 65.2 	 133.1 	 94.1 	 68.3 	 84.9
2024 	95.8 	72.9 	71.4 	81.4 	107.4 	127.5 	148.3 	139.1 	94.7 	118.2 	94.4 	92.8
2025 	88.9 	95.9 	74.2 	118.4 	52.7 	  	  	  	  	  	  	 



Detalls
    Publicat el 10 Març 2014 
    Darrera actualització el 12 Setembre 2025 

